Column,Trip Start,Trip End,# of Days,Trip Year,Year but text,Traveler,Member,Party,State / District,Destination,Destination Cleaned,Country Cleaned,Country Cleaner,Count,Column,Column2,Filing Type,Israel?,Palestine?
31,2/16/13,2/25/13,9,2013,2013,George Miller,George Miller,D,CA-11,"Tamale, Ghana",Tamale, Ghana, Ghana,3,,,Original,0,0
32,2/24/13,2/25/13,1,2013,2013,Diana DeGette,Diana DeGette,D,CO-1,"Tamale, Ghana",Tamale, Ghana, Ghana,3,,,Original,0,0
34,2/16/13,2/25/13,9,2013,2013,Zoe Lofgren,Zoe Lofgren,D,CA-19,"Anomabo, Ghana",Anomabo, Ghana, Ghana,3,,,Original,0,0
39,2/16/13,2/25/13,9,2013,2013,Peter Roskam,Peter Roskam,R,IL-6,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
41,2/16/13,2/25/13,9,2013,2013,Jason Chaffetz,Jason Chaffetz,R,UT-3,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
25,2/16/13,2/26/13,10,2013,2013,Lloyd Doggett,Lloyd Doggett,D,TX-35,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
32,8/17/09,8/24/09,7,2009,2009,Vernon Ehlers,Vernon J. Ehlers,R,MI-3,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
34,8/17/09,8/24/09,7,2009,2009,Vernon J. Ehlers,Vernon J. Ehlers,R,MI-3,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
31,8/15/11,8/19/11,4,2011,2011,Bobby Rush,Bobby L. Rush,D,IL-1,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
33,8/15/11,8/19/11,4,2011,2011,George Miller,"Miller, George",,CA-0,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
36,8/15/11,8/19/11,4,2011,2011,Jackie Speier,"Speier, Jackie",,CA-0,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Amendment,0,0
38,8/15/11,8/19/11,4,2011,2011,Bobby L. Rush,Bobby L. Rush,D,IL-1,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
11,8/15/11,8/20/11,5,2011,2011,Jim McDermott,Jim McDermott,D,WA-7,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
13,8/15/11,8/20/11,5,2011,2011,Ed Pastor,"Pastor, Ed",,AZ-0,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
15,8/15/11,8/20/11,5,2011,2011,Jim Cooper,Jim Cooper,D,TN-5,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Amendment,0,0
17,8/15/11,8/20/11,5,2011,2011,Lynn Woolsey,Lynn Woolsey,D,CA-6,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
19,8/15/11,8/20/11,5,2011,2011,Donald M. Payne,Donald M. Payne Jr.,D,NJ-10,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Amendment,0,0
21,8/15/11,8/20/11,5,2011,2011,John Garamendi,"Garamendi, John",,CA-0,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
23,8/15/11,8/20/11,5,2011,2011,Pete Stark,Pete Stark,D,CA-13,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
25,8/15/11,8/20/11,5,2011,2011,David E. Price,David E. Price,D,NC-4,"Accra, Ghana",Accra, Ghana, Ghana,3,,,Original,0,0
45,2/19/23,2/25/23,6,2023,2023,Earl Blumenauer,Earl Blumenauer,D,OR-3,"Thessaloniki, Greece",Thessaloniki, Greece, Greece,3,,,Amendment,0,0
37,2/21/23,2/27/23,6,2023,2023,Dan Newhouse,Dan Newhouse,R,WA-4,"Porto Carras, Greece",Porto Carras, Greece, Greece,3,,,Original,0,0
17,8/13/23,8/21/23,8,2023,2023,Gerardo Bonilla,Alexandria Ocasio-Cortez,D,NY-14,"Athens, Greece",Athens, Greece, Greece,3,,,Original,0,0
20,8/13/23,8/21/23,8,2023,2023,Renata Beca-Barragan,Nydia M. Velázquez,D,NY-7,"Athens, Greece",Athens, Greece, Greece,3,,,Amendment,0,0
21,4/2/13,4/7/13,5,2013,2013,Jim Cooper,Jim Cooper,D,TN-5,Greece,Greece,Greece, Greece,3,,,Original,0,0
7,8/19/19,8/22/19,3,2019,2019,Rachel Pearce,Don Bacon,R,NE-2,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
10,8/19/19,8/22/19,3,2019,2019,Janie Costa,Rodney Davis,R,IL-13,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
13,8/19/19,8/22/19,3,2019,2019,Ricki Schroeder,K. Michael Conaway,R,TX-11,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
14,8/19/19,8/22/19,3,2019,2019,Jeremy Witte,K. Michael Conaway,R,TX-11,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Amendment,0,0
48,9/17/08,9/23/08,6,2008,2008,Jordan Barab,"Miller, George",,CA-0,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
43,5/31/22,6/2/22,2,2022,2022,Jordan Dickinson,Dan Kildee,D,MI-5,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Amendment,0,0
48,2/20/18,2/22/18,2,2018,2018,Brandon Casey,Richard E. Neal,D,MA-1,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
25,2/18/20,2/20/20,2,2020,2020,Michael Chernin,Ted Lieu,D,CA-33,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
35,1/27/09,1/30/09,3,2009,2009,Adrienne Dunbar,"Miller, George",,CA-0,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
36,8/8/10,8/12/10,4,2010,2010,Malgorzata M. Sadowska,"Turner, Michael R.",,OH-0,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
44,9/28/08,9/30/08,2,2008,2008,Katherine Rodriguez,Lynn Woolsey,D,CA-6,"Tecpan, Guatemala",Tecpan, Guatemala, Guatemala,3,,,Original,0,0
45,9/28/08,9/30/08,2,2008,2008,Katherine Rodriguez,Lynn Woolsey,D,CA-6,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
4,10/12/10,10/19/10,7,2010,2010,Ginny Brown-Waite,Ginny Brown-Waite,R,FL-5,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
2,10/20/10,10/21/10,1,2010,2010,Jackie Speier,"Speier, Jackie",,CA-0,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
19,8/27/16,8/27/16,0,2016,2016,Barbara Lee,Barbara Lee,D,CA-13,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
8,10/31/19,11/3/19,3,2019,2019,Garret Graves,Garret Graves,R,LA-6,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
13,5/22/08,5/25/08,3,2008,2008,Matt Hodge,Eric Cantor,R,VA-7,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
22,8/15/08,8/22/08,7,2008,2008,David Price,David E. Price,D,NC-4,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
20,5/22/08,5/25/08,3,2008,2008,Scott Graves,K. Michael Conaway,R,TX-11,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Amendment,0,0
22,5/22/08,5/25/08,3,2008,2008,Scott Graves,K. Michael Conaway,R,TX-11,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
21,8/23/08,9/6/08,14,2008,2008,Thomas Glassic,Barney Frank,D,MA-4,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Amendment,0,0
29,3/26/09,3/28/09,2,2009,2009,Cynthia Lummis,Cynthia M. Lummis,R,WY-1,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Amendment,0,0
24,11/8/09,11/13/09,5,2009,2009,Sean Hughes,"Velazquez, Nydia M.",,NY-0,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
32,11/8/09,11/13/09,5,2009,2009,David Boling,Vic Snyder,D,AR-2,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
26,5/13/10,5/14/10,1,2010,2010,Edward J. Sackley III,Fred Upton,R,MI-6,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
23,8/26/19,8/30/19,4,2019,2019,Bradley Solyan,Lois Frankel,D,FL-21,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
27,8/26/19,8/30/19,4,2019,2019,James Green,Eddie Bernice Johnson,D,TX-30,"Quetzaltenango, Guatemala",Quetzaltenango, Guatemala, Guatemala,3,,,Original,0,0
31,8/26/19,8/30/19,4,2019,2019,Alison Slagell,Frank D. Lucas,R,OK-3,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
34,8/26/19,8/30/19,4,2019,2019,Richard A. O'Connell Jr.,Ken Calvert,R,CA-42,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
39,6/27/08,6/28/08,1,2008,2008,Donna Christensen,Donna M.C. Christensen,D,VI,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
16,6/30/18,7/7/18,7,2018,2018,Patrick Stewart-Hester,Elise Stefanik,R,NY-21,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
19,6/30/18,7/7/18,7,2018,2018,Maxwell Huntley,Robert J. Wittman,R,VA-1,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
34,6/30/18,7/9/18,9,2018,2018,Jonathan Golden,Rick Larsen,D,WA-2,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
38,8/28/22,9/3/22,6,2022,2022,James Franklin Loomis III,Stephanie Murphy,D,FL-7,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
22,8/28/22,9/3/22,6,2022,2022,Natasha Wood,Jim Costa,D,CA-16,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
23,8/28/22,9/3/22,6,2022,2022,Benjamin Cooper,Gregory W. Meeks,D,NY-5,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
26,8/28/22,9/3/22,6,2022,2022,Caleb Kostreva,Ken Buck,R,CO-4,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
40,8/28/22,9/3/22,6,2022,2022,Gianluca Nigro,Brendan Boyle,D,PA-2,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
44,8/28/22,9/3/22,6,2022,2022,James Franklin Loomis III,Stephanie Murphy,D,FL-7,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
22,8/27/23,9/1/23,5,2023,2023,Kevin Diamond,Lisa Blunt Rochester,D,DE-1,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
19,8/27/23,9/2/23,6,2023,2023,Alec Daman,Bill Huizenga,R,MI-4,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
21,8/27/23,9/2/23,6,2023,2023,Monique Bolsajian,Ted Lieu,D,CA-36,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
26,8/27/23,9/2/23,6,2023,2023,Victoria Rivas,Pete Aguilar,D,CA-33,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
30,8/27/23,9/2/23,6,2023,2023,Jordan Dickinson,Dan Kildee,D,MI-8,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
31,8/27/23,9/2/23,6,2023,2023,James Dolbow,Austin Scott,R,GA-8,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
37,8/27/23,9/2/23,6,2023,2023,Danielle Lindholm,Maxine Waters,D,CA-43,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
44,8/27/23,9/2/23,6,2023,2023,Rolando Hernandez,Mark Green,R,TN-7,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
48,8/27/23,9/2/23,6,2023,2023,Christopher Ringer,Jeffrey Duncan,R,SC-3,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
49,8/27/23,9/2/23,6,2023,2023,Leslie Shedd,Michael McCaul,R,TX-10,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
1,8/27/23,9/2/23,6,2023,2023,John Lynch,Jim Costa,D,CA-21,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
34,8/27/23,9/2/23,6,2023,2023,Christopher Ringer,Jeffrey Duncan,R,SC-3,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
43,8/27/23,9/2/23,6,2023,2023,John Lynch,Jim Costa,D,CA-21,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
39,8/27/23,9/2/23,6,2023,2023,Leslie Shedd,Michael McCaul,R,TX-10,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
7,11/25/07,12/1/07,6,2007,2007,Xavier Becerra,Xavier Becerra,D,CA-31,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Amendment,0,0
8,11/25/07,12/1/07,6,2007,2007,Xavier Becerra,Xavier Becerra,D,CA-31,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
15,11/25/07,12/1/07,6,2007,2007,Xavier Becerra,Xavier Becerra,D,CA-31,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
22,12/6/07,12/9/07,3,2007,2007,Wayne Gilchrest,Wayne T. Gilchrest,R,MD-1,"Totonicapan, Guatemala",Totonicapan, Guatemala, Guatemala,3,,,Original,0,0
14,4/5/10,4/11/10,6,2010,2010,Henry Waxman,"Waxman, Henry A.",,CA-0,"Totonicipan, Guatemala",Totonicipan, Guatemala, Guatemala,3,,,Original,0,0
15,4/5/10,4/11/10,6,2010,2010,Bart Gordon,Bart Gordon,D,TN-6,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
17,4/2/10,4/11/10,9,2010,2010,Earl Blumenauer,Earl Blumenauer,D,OR-3,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
18,4/5/10,4/11/10,6,2010,2010,Maurice Hinchey,Maurice D. Hinchey,D,NY-22,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
20,4/5/10,4/11/10,6,2010,2010,Dianna DeGette,Diana DeGette,D,CO-1,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
21,4/5/10,4/11/10,6,2010,2010,Zoe Lofgren,"Lofgren, Zoe",,CA-0,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
23,4/4/10,4/11/10,7,2010,2010,Tammy Baldwin,Tammy Baldwin,D,WI-2,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
24,4/5/10,4/11/10,6,2010,2010,Mazie Hirono,Mazie K. Hirono,D,HI-2,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
25,4/4/10,4/11/10,7,2010,2010,George Miller,"Miller, George",,CA-0,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
27,4/5/10,4/11/10,6,2010,2010,James Oberstar,James L. Oberstar,D,MN-8,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
28,4/1/10,4/11/10,10,2010,2010,Lloyd Doggett,Lloyd Doggett,D,TX-0,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
30,4/5/10,4/11/10,6,2010,2010,Lynn Woolsey,Lynn Woolsey,D,CA-6,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
2,4/2/10,4/12/10,10,2010,2010,Greg Walden,Greg Walden,R,OR-2,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
46,2/18/15,2/21/15,3,2015,2015,Jim Costa,Jim Costa,D,CA-16,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
44,4/20/17,4/23/17,3,2017,2017,James Costa,Jim Costa,D,CA-16,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
23,4/4/18,4/7/18,3,2018,2018,Jim Costa,Jim Costa,D,CA-16,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Amendment,0,0
49,4/4/18,4/8/18,4,2018,2018,David G. Valadao,David Valadao,R,CA-21,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
27,5/29/19,5/31/19,2,2019,2019,Lori Trahan,Lori Trahan,D,MA-3,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
12,5/29/19,6/1/19,3,2019,2019,Jim Costa,Jim Costa,D,CA-16,"Guatemala City, Guatemala",Guatemala City, Guatemala, Guatemala,3,,,Original,0,0
1,5/30/17,6/6/17,7,2017,2017,Mark Sanford,Mark Sanford,R,SC-1,"El Carmen, Guatemala",El Carmen, Guatemala, Guatemala,3,,,Amendment,0,0
4,5/30/17,6/6/17,7,2017,2017,Jeff Fortenberry,Jeff Fortenberry,R,NE-1,"El Carmen, Guatemala",El Carmen, Guatemala, Guatemala,3,,,Amendment,0,0
7,5/30/17,6/6/17,7,2017,2017,David Joyce,Dave Joyce,R,OH-14,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
10,5/30/17,6/6/17,7,2017,2017,Chris Stewart,Chris Stewart,R,UT-2,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
13,5/30/17,6/6/17,7,2017,2017,Henry Cuellar,Henry Cuellar,D,TX-28,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
20,6/1/10,6/5/10,4,2010,2010,Luis V. Gutierrez,Luis V. Gutiérrez,D,IL-4,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
22,6/1/10,6/5/10,4,2010,2010,Kay Granger,Kay Granger,R,TX-12,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
24,6/1/10,6/5/10,4,2010,2010,Ashley Hale,Kay Granger,R,TX-12,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Amendment,0,0
11,8/28/11,9/3/11,6,2011,2011,Laura Still Thrift,David E. Price,D,NC-4,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
37,8/28/11,9/4/11,7,2011,2011,Jirair Ratevosian,"Lee, Barbara",,CA-0,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
0,8/28/11,9/4/11,7,2011,2011,Allison Thigpen,Jack Kingston,R,GA-1,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
3,8/28/11,9/4/11,7,2011,2011,Allison Thigpen,Jack Kingston,R,GA-1,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
33,8/28/11,9/5/11,8,2011,2011,Theresa Vawter,Kay Granger,R,TX-12,"Chichicastenango, Guatemala",Chichicastenango, Guatemala, Guatemala,3,,,Original,0,0
2,6/1/14,6/7/14,6,2014,2014,Diane Black,Diane Black,R,TN-6,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
31,6/2/14,6/8/14,6,2014,2014,Henry Cuellar,Henry Cuellar,D,TX-28,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Amendment,0,0
34,6/1/14,6/8/14,7,2014,2014,Ander Crenshaw,Ander Crenshaw,R,FL-4,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
39,5/3/15,5/10/15,7,2015,2015,Justin Wein,David E. Price,D,NC-4,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
33,5/3/15,5/13/15,10,2015,2015,Robert Cogan,Diane Black,R,TN-6,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
3,3/11/17,3/18/17,7,2017,2017,Justin Wein,David E. Price,D,NC-4,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
27,2/13/09,2/21/09,8,2009,2009,James Sensenbrenner,F. James Sensenbrenner,R,WI-5,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
35,2/13/09,2/21/09,8,2009,2009,James Sensenbrenner,F. James Sensenbrenner,R,WI-5,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
40,2/16/08,2/21/08,5,2008,2008,Jay Inslee,Jay Inslee,D,WA-1,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
31,2/16/08,2/22/08,6,2008,2008,Danny Davis,Danny K. Davis,D,IL-7,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
36,2/16/08,2/22/08,6,2008,2008,Tom Price,Tom Price,R,GA-6,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Amendment,0,0
45,2/16/08,2/23/08,7,2008,2008,Tom Price,Tom Price,R,GA-6,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
7,5/1/22,5/4/22,3,2022,2022,Jim Costa,Jim Costa,D,CA-16,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
43,3/24/18,3/31/18,7,2018,2018,Rachana Shah,Grace Meng,D,NY-6,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
45,3/24/18,3/31/18,7,2018,2018,Eliza Ramirez,Michael E. Capuano,D,MA-7,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
13,11/27/07,12/1/07,4,2007,2007,Nita Lowey,"Lowey, Nita M.",,NY-0,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
21,11/27/07,12/2/07,5,2007,2007,Anna Eshoo,Anna G. Eshoo,D,CA-0,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
22,11/27/07,12/2/07,5,2007,2007,Anna Eshoo,Anna G. Eshoo,D,CA-0,"Antigua, Guatemala",Antigua, Guatemala, Guatemala,3,,,Original,0,0
27,4/1/13,4/6/13,5,2013,2013,John K. Delaney,John Delaney,D,MD-6,Guatemala City,Guatemala City,Guatemala City, Guatemala,3,,,Original,0,0
30,4/1/13,4/6/13,5,2013,2013,Barbara Lee,Barbara Lee,D,CA-13,Guatemala CIty,Guatemala CIty,Guatemala CIty, Guatemala,3,,,Original,0,0
33,4/1/13,4/6/13,5,2013,2013,John K. Delaney,John Delaney,D,MD-6,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
44,4/1/13,4/7/13,6,2013,2013,Lucille Roybal-Allard,Lucille Roybal-Allard,D,CA-40,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Amendment,0,0
45,3/29/13,4/7/13,9,2013,2013,Earl Blumenauer,Earl Blumenauer,D,OR-3,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
46,4/1/13,4/7/13,6,2013,2013,Ted Deutch,Ted Deutch,D,FL-21,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
47,4/1/13,4/7/13,6,2013,2013,Tom Cole,Tom Cole,R,OK-4,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
0,3/28/13,4/7/13,10,2013,2013,Anna Eshoo,Anna G. Eshoo,D,CA-18,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
2,4/1/13,4/7/13,6,2013,2013,John Garamendi,John Garamendi,D,CA-3,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Amendment,0,0
3,3/27/13,4/7/13,11,2013,2013,Henry Waxman,Henry A. Waxman,D,CA-33,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
5,3/31/13,4/7/13,7,2013,2013,Greg Walden,Greg Walden,R,OR-2,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
6,4/1/13,4/7/13,6,2013,2013,Tom Cole,Tom Cole,R,OK-4,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
7,4/1/13,4/7/13,6,2013,2013,Ted Deutch,Ted Deutch,D,FL-21,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
8,4/1/13,4/7/13,6,2013,2013,Lucille Roybal-Allard,Lucille Roybal-Allard,D,CA-40,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
9,4/1/13,4/7/13,6,2013,2013,Lois Capps,Lois Capps,D,CA-24,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
10,4/1/13,4/7/13,6,2013,2013,Sam Farr,Sam Farr,D,CA-20,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Original,0,0
11,4/1/13,4/7/13,6,2013,2013,Zoe Lofgren,Zoe Lofgren,D,CA-19,Guatemala,Guatemala,Guatemala, Guatemala,3,,,Amendment,0,0
6,8/19/19,8/22/19,3,2019,2019,Patrick Koetzle,Tulsi Gabbard,D,HI-2,"La Esperanza, Hounduras",La Esperanza, Hounduras, Honduras,3,,,Original,0,0
13,8/1/18,8/3/18,2,2018,2018,Danielle Moon,Joaquín Castro,D,TX-20,"Tela, Honduras",Tela, Honduras, Honduras,3,,,Original,0,0
16,8/1/18,8/3/18,2,2018,2018,Ian Merritt,Jeff Fortenberry,R,NE-1,"Tela, Honduras",Tela, Honduras, Honduras,3,,,Original,0,0
17,8/1/18,8/3/18,2,2018,2018,Katherine Baird,Adam Kinzinger,R,IL-16,"San Pedro, Honduras",San Pedro, Honduras, Honduras,3,,,Original,0,0
18,8/1/18,8/3/18,2,2018,2018,Paul Laurie,Adam Kinzinger,R,IL-16,"San Pedro Sula, Honduras",San Pedro Sula, Honduras, Honduras,3,,,Original,0,0
19,8/1/18,8/3/18,2,2018,2018,Hillary O'Brien,Lamar Smith,R,TX-21,"San Pedro Sula, Honduras",San Pedro Sula, Honduras, Honduras,3,,,Original,0,0
20,10/25/22,10/26/22,1,2022,2022,Ashley Lund,Raja Krishnamoorthi,D,IL-8,"San Pedro Sula, Honduras",San Pedro Sula, Honduras, Honduras,3,,,Original,0,0
21,10/25/22,10/26/22,1,2022,2022,Abigail Engleman,Alan Lowenthal,D,CA-47,"San Pedro Sula, Honduras",San Pedro Sula, Honduras, Honduras,3,,,Original,0,0
