Column,Trip Start,Trip End,# of Days,Trip Year,Year but text,Traveler,Member,Party,State / District,Destination,Destination Cleaned,Country Cleaned,Country Cleaner,Count,Column,Column2,Filing Type,Israel?,Palestine?
39,5/9/14,5/18/14,9,2014,2014,Earl Blumenauer,Earl Blumenauer,D,OR-3,"Algiers, Algeria",Algiers, Algeria, Algeria,19,,,Original,0,0
41,5/10/14,5/18/14,8,2014,2014,Raul Martinez,Joe Garcia,D,FL-26,"Algiers, Algeria",Algiers, Algeria, Algeria,19,,,Original,0,0
44,5/10/14,5/18/14,8,2014,2014,Jonathon Bray,Lois Frankel,D,FL-22,"Algiers, Algeria",Algiers, Algeria, Algeria,19,,,Original,0,0
47,5/10/14,5/18/14,8,2014,2014,Mark Henson,Jim Himes,D,CT-4,"Algers, Algeria",Algers, Algeria, Algeria,19,,,Original,0,0
0,5/10/14,5/18/14,8,2014,2014,Jay Gertsema,Dina Titus,D,NV-1,"Algiers, Algeria",Algiers, Algeria, Algeria,19,,,Amendment,0,0
3,5/10/14,5/18/14,8,2014,2014,Jonathan Smith,Derek Kilmer,D,WA-6,"Algiers, Algeria",Algiers, Algeria, Algeria,19,,,Original,0,0
6,5/10/14,5/18/14,8,2014,2014,Abigail Curran Horrell,Ann McLane Kuster,D,NH-2,"Algiers, Algeria",Algiers, Algeria, Algeria,19,,,Original,0,0
9,5/10/14,5/18/14,8,2014,2014,James Walkinshaw,Gerald E. Connolly,D,VA-11,"Algiers, Algeria",Algiers, Algeria, Algeria,23,,,Original,0,0
12,5/10/14,5/18/14,8,2014,2014,Dominic Pius Gabello,Michelle Lujan Grisham,D,NM-1,"Algiers, Algeria",Algiers, Algeria, Algeria,23,,,Original,0,0
15,5/10/14,5/18/14,8,2014,2014,Eulice Brandon Garrett,Robin Kelly,D,IL-2,"Algiers, Algeria",Algiers, Algeria, Algeria,23,,,Original,0,0
18,5/10/14,5/18/14,8,2014,2014,Lee Slater,John B. Larson,D,CT-1,"Algiers, Algeria",Algiers, Algeria, Algeria,23,,,Original,0,0
21,5/10/14,5/18/14,8,2014,2014,Troy Clair,G. K. Butterfield,D,NC-1,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
24,5/10/14,5/18/14,8,2014,2014,Mini Timmaraju,Ami Bera,D,CA-7,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
